IATA_CODE,ICAO_CODE,MANUFACTURER_AND_MODEL,INVENTORY_MANUFACTURER,INVENTORY_MODEL,WAKE_CATEGORY
ND2,N262,Aerospatiale (Nord) 262,,,M
CRV,S210,Aerospatiale (Sud Aviation) Se.210 Caravelle,,,M
NDC,S601,Aerospatiale SN.601 Corvette,,,L
ATR,,Aerospatiale/Alenia ATR 42/ ATR 72,ATR,,M
AT4,AT43,Aerospatiale/Alenia ATR 42-300 / 320,ATR,,M
AT5,AT45,Aerospatiale/Alenia ATR 42-500,ATR,,M
AT7,AT72,Aerospatiale/Alenia ATR 72,ATR,ATR-72,M
SSC,CONC,Aerospatiale/BAC Concorde,,,H
310,A310,Airbus A310 all pax models,AIRBUS,A310-2CF,H
31F,A310,Airbus A310 Freighter,AIRBUS,A310-2CF,M
31X,A310,Airbus A310-200 Freighter,AIRBUS,A310-2CF,M
312,A310,Airbus A310-200 pax,AIRBUS,A310-2CF,H
31Y,A310,Airbus A310-300 Freighter,AIRBUS,A310-2CF,M
313,A310,Airbus A310-300 pax,AIRBUS,A310-2CF,H
318,A318,Airbus A318,AIRBUS,A318-1,M
32S,,Airbus A318/319/320/321,AIRBUS,,M
319,A319,Airbus A319,AIRBUS,A319-1,M
320,A320,Airbus A320-100/200,AIRBUS,A320-1/2,M
321,A321,Airbus A321-100/200,AIRBUS,A321,M
330,A330,Airbus A330 all models,AIRBUS,,H
332,A332,Airbus A330-200,AIRBUS,A330-200,H
333,A333,Airbus A330-300,AIRBUS,A330-300,H
340,A340,Airbus A340 all models,AIRBUS,,H
342,A342,Airbus A340-200,AIRBUS,,H
343,A343,Airbus A340-300,AIRBUS,,H
345,A345,Airbus A340-500,AIRBUS,,H
346,A346,Airbus A340-600,AIRBUS,,H
38F,,Airbus A380 Freighter,AIRBUS,,H
380,,Airbus A380 pax,AIRBUS,,H
ABF,A30B,Airbus Industrie A300 Freighter,AIRBUS,A300X4,H
AB3,A30B,Airbus Industrie A300 pax,AIRBUS,A300X4,H
AB6,A306,Airbus Industrie A300-600 pax,AIRBUS,A300-600,H
ABB,A3ST,Airbus Industrie A300-600ST Beluga Freighter,AIRBUS,,H
AB4,A30B,Airbus Industrie A300B2/B4/C4 pax,AIRBUS,A300X4,H
ABX,A30B,Airbus Industrie A300C4/F4 Freighter,AIRBUS,A300X4,H
ABY,A306,Airbus Industrie A600-600 Freighter,AIRBUS,A300-600,H
ANF,AN12,Antonov AN-12,,,M
A4F,A124,Antonov AN-124 Ruslan,,,H
A40,A140,Antonov AN-140,,,M
AN4,AN24,Antonov AN-24,,,M
A26,AN26,Antonov AN-26,,,L
AN6,,Antonov AN-26 / AN-30 /AN-32,,,M
A28,AN28,Antonov AN-28 / PZL Miele M-28 Skytruck,,,L
A30,AN30,Antonov AN-30,,,L
A32,AN32,Antonov AN-32,,,L
AN7,AN72,Antonov AN-72 / AN-74,,,M
AR1,RJ1H,Avro RJ100 Avroliner,,,M
ARJ,,Avro RJ70 / RJ85 / RJ100 Avroliner,,,M
AR7,RJ70,Avro RJ70 Avroliner,,,M
AR8,RJ85,Avro RJ85 Avroliner,,,M
AX1,RX1H,Avro RJX100,,,M
AX8,RX85,Avro RJX85,,,M
ARX,,Avro RJX85 / RJX100,,,M
ALM,LOAD,Ayres LM-200 Loadmaster,,,M
146,,BAe 146 all pax models,BAE,,M
14F,,BAe 146 Freighter (-100/200/300QT & QC),BAE,,M
14X,B461,BAe 146 Freighter (-100QT & QC),BAE,,M
14Y,B462,BAe 146 Freighter (-200QT & QC),BAE,,M
14Z,B463,BAe 146 Freighter (-200QT & QC),BAE,,M
141,B461,BAe 146-100 Pax,BAE,,M
142,B462,BAe 146-200 Pax,BAE,,M
143,B463,BAe 146-300 Pax,BAE,,M
BES,B190,Beechcfrat 1900/1900C,,,M
BE1,B190,Beechcraft 1900/1900C/1900D,,,M
BEH,B190,Beechcraft 1900D,,,M
BEC,,Beechcraft light aircraft,,,L
BEP,,Beechcraft light aircraft - single engine,,,L
BET,,Beechcraft light aircraft - twin turboprop engine,,,L
BE2,,Beechcraft twin piston engines,,,L
BH2,,Bell Helicopters,BELL,,
70M,B703,Boeing 707 Combi,BOEING,,H
70F,B703,Boeing 707 Freighter,BOEING,,H
707,,Boeing 707/720 all pax models,BOEING,,H
703,B703,Boeing 707-300 pax,BOEING,,H
717,B712,Boeing 717,BOEING,B-717-2,M
B72,B720,Boeing 720B pax,BOEING,,M
727,,Boeing 727 all pax models,BOEING,,M
72M,,Boeing 727 Combi,BOEING,,M
72F,,Boeing 727 Freighter (-100/200),BOEING,,M
72X,B721,Boeing 727-100 Freighter,BOEING,B-727-1,M
72B,B721,Boeing 727-100 Mixed Configuration,BOEING,B-727-1,M
721,B721,Boeing 727-100 pax,BOEING,B-727-1,M
72S,B722,Boeing 727-200 Advanced pax,BOEING,B-727-2,M
72Y,B722,Boeing 727-200 Freighter,BOEING,B-727-2,M
72C,B722,Boeing 727-200 Mixed Configuration,BOEING,B-727-2,M
722,B722,Boeing 727-200 pax,BOEING,B-727-2,M
73F,,Boeing 737 all Freighter models,BOEING,,M
737,,Boeing 737 all pax models,BOEING,,M
731,B731,Boeing 737-100 pax,BOEING,B737-1/2,M
73M,B732,Boeing 737-200 Combi,BOEING,,M
73X,B732,Boeing 737-200 Freighter,BOEING,,M
732,B732,Boeing 737-200 pax,BOEING,,M
73Y,B733,Boeing 737-300 Freighter,BOEING,B-737-3,M
733,B733,Boeing 737-300 pax,BOEING,B-737-3,M
734,B734,Boeing 737-400 pax,BOEING,B-737-4,M
735,B735,Boeing 737-500 pax,BOEING,B737-5,M
736,B736,Boeing 737-600 pax,BOEING,,M
73W,B737,Boeing 737-700 (winglets) pax,BOEING,B737-7/L,M
73G,B737,Boeing 737-700 pax,BOEING,B737-7/L,M
73H,B738,Boeing 737-800 (winglets) pax,BOEING,B737-8,M
738,B738,Boeing 737-800 pax,BOEING,B737-8,M
739,B739,Boeing 737-900 pax,BOEING,B-737-9,M
74M,,Boeing 747 all Combi models,BOEING,,H
74F,,Boeing 747 all Freighter models,BOEING,,H
747,,Boeing 747 all pax models,BOEING,,H
74T,B741,Boeing 747-100 Freighter,BOEING,B-747-1,H
741,B741,Boeing 747-100 pax,BOEING,B-747-1,H
74C,B742,Boeing 747-200 Combi,BOEING,B747-2/3,H
74X,B742,Boeing 747-200 Freighter,BOEING,B747-2/3,H
742,B742,Boeing 747-200 pax,BOEING,B747-2/3,H
74U,B743,Boeing 747-300 / 747-200 SUD Freighter,BOEING,,H
74D,B743,Boeing 747-300 Combi,BOEING,,H
743,B743,Boeing 747-300 pax,BOEING,,H
74J,B744,Boeing 747-400 (Domestic) pax,BOEING,B-747-4,H
74E,B744,Boeing 747-400 Combi,BOEING,B-747-4,H
74Y,B744,Boeing 747-400 Freighter,BOEING,B-747-4,H
744,B744,Boeing 747-400 pax,BOEING,B-747-4,H
74L,N74S,Boeing 747SP,BOEING,,H
74V,B74R,Boeing 747SR Freighter,BOEING,,H
74R,B74R,Boeing 747SR pax,BOEING,,H
757,,Boeing 757 all pax models,BOEING,,H
75F,B752,Boeing 757 Freighter,BOEING,B-757-2,H
75M,B752,Boeing 757 Mixed Configuration,BOEING,B-757-2,H
752,B752,Boeing 757-200 pax,BOEING,B-757-2,H
753,B753,Boeing 757-300 pax,BOEING,B-757-3,H
76F,,Boeing 767 all Freighter models,BOEING,,H
