CODE,CITY,STATE,TIMEZONE_REGION
A07,Selawik,AK,America/Anchorage
A29,Kiluda Bay,AK,America/Anchorage
A36,Deep Bay,AK,America/Anchorage
A37,Kako,AK,America/Anchorage
A40,Cape Simpson,AK,America/Anchorage
ABE,Allentown,PA,America/New_York
ABI,Abilene,TX,America/Chicago
ABL,Ambler,AK,America/Anchorage
ABQ,Albuquerque,NM,America/Denver
ABR,Aberdeen,SD,America/Chicago
ABY,Albany,GA,America/New_York
ACK,Nantucket,MA,America/New_York
ACT,Waco,TX,America/Chicago
ACV,Arcata,CA,America/Los_Angeles
ACY,Atlantic City,NJ,America/New_York
ADK,Adak Island,AK,America/Adak
ADM,Ardmore,OK,America/Chicago
ADQ,Kodiak,AK,America/Anchorage
ADS,Dallas,TX,America/Chicago
ADW,Camp Springs,MD,America/New_York
AET,Allakaket,AK,America/Anchorage
AEX,Alexandria,LA,America/Chicago
AFW,Fort Worth,TX,America/Chicago
AGN,Angoon,AK,America/Anchorage
AGS,Augusta,GA,America/New_York
AHN,Athens,GA,America/New_York
AIA,Alliance,NE,America/Denver
AID,Anderson,IN,America/New_York
AIN,Wainwright,AK,America/Anchorage
AKB,Atka,AK,America/Adak
AKI,Akiak,AK,America/Anchorage
AKK,Akhiok,AK,America/Anchorage
AKN,King Salmon,AK,America/Anchorage
AKP,Anaktuvuk,AK,America/Anchorage
ALB,Albany,NY,America/New_York
ALM,Alamogordo,NM,America/Denver
ALO,Waterloo,IA,America/Chicago
ALS,Alamosa,CO,America/Denver
ALW,Walla walla,WA,America/Los_Angeles
ALZ,Alitak,AK,America/Anchorage
AMA,Amarillo,TX,America/Chicago
AMK,Durango,CO,America/Denver
ANB,Anniston,AL,America/Chicago
ANC,Anchorage,AK,America/Anchorage
AND,Anderson,SC,America/New_York
ANI,Aniak,AK,America/Anchorage
ANV,Anvik,AK,America/Anchorage
AOO,Altoona,PA,America/New_York
AOS,Amook,AK,America/Anchorage
APF,Naples,FL,America/New_York
APN,Alpena,MI,America/New_York
ARA,New Iberia,LA,America/Chicago
ARC,Arctic Village,AK,America/Anchorage
ART,Watertown,NY,America/New_York
ASE,Aspen,CO,America/Denver
AST,Astoria,OR,America/Los_Angeles
ATK,Atqasuk,AK,America/Anchorage
ATL,Atlanta,GA,America/New_York
ATT,Atmautluak,AK,America/Anchorage
ATW,Appleton,WI,America/Chicago
ATY,Watertown,SD,America/Chicago
AUG,Augusta,ME,America/New_York
AUK,Alakanuk,AK,America/Anchorage
AUS,Austin,TX,America/Chicago
AUW,Wausau,WI,America/Chicago
AVL,Asheville,NC,America/New_York
AVP,Wilkes-Barre,PA,America/New_York
AXN,Alexandria,MN,America/Chicago
AZA,Messa,AZ,US/Arizona
AZO,Kalamazoo,MI,America/New_York
BAD,Shreveport,LA,America/Chicago
BAF,Westfield,MA,America/New_York
BCT,Boca Raton,FL,America/New_York
BDL,Hartford,CT,America/New_York
BDR,Bridgeport,CT,America/New_York
BED,Bedford/Hanscom,MA,America/New_York
BET,Bethel,AK,America/Anchorage
BFD,Bradford,PA,America/New_York
BFF,Scottsbluff,NE,America/Denver
BFI,Seattle,WA,America/Los_Angeles
BFL,Bakersfield,CA,America/Los_Angeles
BFM,Mobile,AL,America/Chicago
BFT,Beaufort,SC,America/New_York
BGM,Binghamton,NY,America/New_York
BGR,Bangor,ME,America/New_York
BHB,Bar Harbor,ME,America/New_York
BHM,Birmingham,AL,America/Chicago
BID,Block Island,RI,America/New_York
BIF,El paso,TX,America/Denver
BIG,Big Delta,AK,America/Anchorage
BIH,Bishop,CA,America/Los_Angeles
BIL,Billings,MT,America/Denver
BIS,Bismarck,ND,America/Chicago
BJI,Bemidji,MN,America/Chicago
BKC,Buckland,AK,America/Anchorage
BKL,Cleveland,OH,America/New_York
BKW,Beckley,WV,America/New_York
BLF,Bluefield,WV,America/New_York
BLI,Bellingham,WA,America/Los_Angeles
BLM,Belmar,NJ,America/New_York
BLV,Belleville,IL,America/Chicago
BMG,Bloomington,IN,America/New_York
BMI,Bloomington-Normal,IL,America/Chicago
BNA,Nashville,TN,America/Chicago
BOI,Boise,ID,America/Denver
BOK,Brookings,OR,America/Los_Angeles
BOS,Boston,MA,America/New_York
BPT,Beaumont,TX,America/Chicago
BQK,Brunswick,GA,America/New_York
BQN,Aguadilla,PR,America/Puerto_Rico
BRD,Brainerd,MN,America/Chicago
BRL,Burlington,IA,America/Chicago
BRO,Brownsville,TX,America/Chicago
BRW,Barrow,AK,America/Anchorage
BTI,Barter Island,AK,America/Anchorage
BTL,Battle Creek,MI,America/New_York
BTM,Butte,MT,America/Denver
BTR,Baton Rouge,LA,America/Chicago
BTT,Bettles,AK,America/Anchorage
BTV,Burlington,VT,America/New_York
BUF,Buffalo,NY,America/New_York
BUR,Burbank,CA,America/Los_Angeles
BVD,Beaver Inlet,AK,America/Anchorage
BVU,Beluga,AK,America/Anchorage
BWD,Brownwood,TX,America/Chicago
BWG,Bowling Green,KY,America/Chicago
BWI,Baltimore,MD,America/New_York
BZN,Bozeman,MT,America/Denver
CAD,Cadillac,MI,America/New_York
CAE,Columbia,SC,America/New_York
CAK,Akron/Canton,OH,America/New_York
CBE,Cumberland,MD,America/New_York
CDB,Cold Bay,AK,America/Anchorage
CDC,Cedar City,UT,America/Denver
CDR,Chadron,NE,America/Denver
CDV,Cordova,AK,America/Anchorage
CEC,Crescent City,CA,America/Los_Angeles
CEF,Springfield,MA,America/New_York
