Airport Acronym,City,State,Time Zone,Hrs. from GMT,Java Zone ID,DST,,
A07,Selawik,AK,,-9,America/Anchorage,YES,,
A29,Kiluda Bay,AK,,-9,America/Anchorage,YES,,
A36,Deep Bay,AK,,-9,America/Anchorage,YES,,
A37,Kako,AK,,-9,America/Anchorage,YES,,
A40,Cape Simpson,AK,,-9,America/Anchorage,YES,,
ABE,Allentown,PA,EST,-5,America/New_York,YES,,
ABI,Abilene,TX,CST,-6,America/Chicago,YES,,
ABL,Ambler,AK,,-9,America/Anchorage,YES,,
ABQ,Albuquerque,NM,MST,-7,America/Denver,YES,,
ABR,Aberdeen,SD,CST,-6,America/Chicago,YES,,
ABY,Albany,GA,EST,-5,America/New_York,YES,,
ACK,Nantucket,MA,EST,-5,America/New_York,YES,,
ACT,Waco,TX,CST,-6,America/Chicago,YES,,
ACV,Arcata,CA,PST,-8,America/Los_Angeles,YES,,
ACY,Atlantic City,NJ,EST,-5,America/New_York,YES,,
ADK,Adak Island,AK,,-10,Pacific/Honolulu,NO,America/Adak,YES
ADM,Ardmore,OK,CST,-6,America/Chicago,YES,,
ADQ,Kodiak,AK,,-9,America/Anchorage,YES,,
ADS,Dallas,TX,CST,-6,America/Chicago,YES,,
ADW,Camp Springs,MD,EST,-5,America/New_York,YES,,
AET,Allakaket,AK,,-9,America/Anchorage,YES,,
AEX,Alexandria,LA,CST,-6,America/Chicago,YES,,
AFW,Fort Worth,TX,CST,-6,America/Chicago,YES,,
AGN,Angoon,AK,,-9,America/Anchorage,YES,,
AGS,Augusta,GA,EST,-5,America/New_York,YES,,
AHN,Athens,GA,EST,-5,America/New_York,YES,,
AIA,Alliance,NE,MST,-7,America/Denver,YES,,
AID,Anderson,IN,EST,-5,America/New_York,YES,,
AIN,Wainwright,AK,,-9,America/Anchorage,YES,,
AKB,Atka,AK,,-10,Pacific/Honolulu,NO,America/Adak,YES
AKI,Akiak,AK,,-9,America/Anchorage,YES,,
AKK,Akhiok,AK,,-9,America/Anchorage,YES,,
AKN,King Salmon,AK,,-9,America/Anchorage,YES,,
AKP,Anaktuvuk,AK,,-9,America/Anchorage,YES,,
ALB,Albany,NY,EST,-5,America/New_York,YES,,
ALM,Alamogordo,NM,MST,-7,America/Denver,YES,,
ALO,Waterloo,IA,CST,-6,America/Chicago,YES,,
ALS,Alamosa,CO,MST,-7,America/Denver,YES,,
ALW,Walla walla,WA,PST,-8,America/Los_Angeles,YES,,
ALZ,Alitak,AK,,-9,America/Anchorage,YES,,
